"filename", "language", "HTML", "XML", "JavaScript", "CSS", "JSON", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\User\Desktop\django-aiogram-bot\.idea\app.iml", "XML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\User\Desktop\django-aiogram-bot\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\User\Desktop\django-aiogram-bot\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\User\Desktop\django-aiogram-bot\.idea\misc.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\User\Desktop\django-aiogram-bot\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\User\Desktop\django-aiogram-bot\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\User\Desktop\django-aiogram-bot\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\Desktop\django-aiogram-bot\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\app\asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\User\Desktop\django-aiogram-bot\app\custom_admin\templates\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\app\custom_admin\templates\admin\index.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Desktop\django-aiogram-bot\app\custom_admin\templates\admin\stats2.html", "HTML", 65, 0, 0, 0, 0, 0, 0, 0, 0, 34, 99
"c:\Users\User\Desktop\django-aiogram-bot\app\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 74, 27, 36, 137
"c:\Users\User\Desktop\django-aiogram-bot\app\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 103, 15, 18, 136
"c:\Users\User\Desktop\django-aiogram-bot\app\wsgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\User\Desktop\django-aiogram-bot\aviato\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\aviato\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 134, 1, 43, 178
"c:\Users\User\Desktop\django-aiogram-bot\aviato\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\User\Desktop\django-aiogram-bot\aviato\forms.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\bot.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 5
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 600, 39, 178, 817
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\functions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\keyboard.py", "Python", 0, 0, 0, 0, 0, 0, 0, 69, 0, 16, 85
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1973, 24, 354, 2351
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 44, 1, 7, 52
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0002_alter_applications_driver.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0003_remove_applications_count.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 6, 18
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0004_applications_location.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0005_alter_applications_options_alter_profile_options_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 75, 1, 6, 82
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0006_alter_rolecode_options_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 1, 6, 26
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0007_applications_phone.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0008_profile_first_name.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0009_alter_profile_first_name.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0010_applications_time_update_location.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0011_applications_create_time.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0012_report_alter_applications_time_update_location.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 1, 6, 26
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0013_applications_canceled_reason.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0014_delete_report.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 1, 6, 17
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0015_applications_direction.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0016_alter_applications_direction.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0017_applications_location_time.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0018_applications_delivery_information_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 53, 1, 6, 60
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0019_alter_applications_create_time.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0020_products_remove_applications_photo_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 49, 1, 6, 56
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0021_alter_applications_bool_status_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 1, 6, 24
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0022_alter_applications_product.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0023_alter_applications_bool_count.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0024_alter_applications_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0025_alter_applications_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\0026_alter_applications_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\User\Desktop\django-aiogram-bot\aviato\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\aviato\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 78, 3, 26, 107
"c:\Users\User\Desktop\django-aiogram-bot\aviato\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 96, 0, 19, 115
"c:\Users\User\Desktop\django-aiogram-bot\manage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 15, 3, 5, 23
"c:\Users\User\Desktop\django-aiogram-bot\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\User\Desktop\django-aiogram-bot\scrapping_xlsx.py", "Python", 0, 0, 0, 0, 0, 0, 0, 34, 1, 7, 42
"c:\Users\User\Desktop\django-aiogram-bot\static\1.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\autocomplete.css", "CSS", 0, 0, 0, 227, 0, 0, 0, 0, 0, 49, 276
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\base.css", "CSS", 0, 0, 0, 827, 0, 0, 0, 0, 23, 203, 1053
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\changelists.css", "CSS", 0, 0, 0, 285, 0, 0, 0, 0, 7, 64, 356
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\dashboard.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 2, 7, 27
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\fonts.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\forms.css", "CSS", 0, 0, 0, 413, 0, 0, 0, 0, 11, 104, 528
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\login.css", "CSS", 0, 0, 0, 49, 0, 0, 0, 0, 1, 12, 62
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\nav_sidebar.css", "CSS", 0, 0, 0, 116, 0, 0, 0, 0, 0, 24, 140
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\responsive.css", "CSS", 0, 0, 0, 755, 0, 0, 0, 0, 28, 222, 1005
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\responsive_rtl.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 2, 16, 81
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\rtl.css", "CSS", 0, 0, 0, 169, 0, 0, 0, 0, 8, 51, 228
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\vendor\select2\select2.css", "CSS", 0, 0, 0, 425, 0, 0, 0, 0, 0, 57, 482
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\vendor\select2\select2.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\css\widgets.css", "CSS", 0, 0, 0, 465, 0, 0, 0, 0, 8, 102, 575
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\calendar-icons.svg", "XML", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\gis\move_vertex_off.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\gis\move_vertex_on.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-addlink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-alert.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-calendar.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-changelink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-clock.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-deletelink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-no.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-unknown-alt.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-unknown.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-viewlink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\icon-yes.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\inline-delete.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\search.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\selector-icons.svg", "XML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\sorting-icons.svg", "XML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\tooltag-add.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\img\tooltag-arrowright.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\SelectBox.js", "JavaScript", 0, 0, 107, 0, 0, 0, 0, 0, 5, 1, 113
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 0, 27, 20, 237
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\actions.js", "JavaScript", 0, 0, 176, 0, 0, 0, 0, 0, 11, 21, 208
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 0, 22, 18, 206
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\autocomplete.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 2, 4, 36
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\calendar.js", "JavaScript", 0, 0, 178, 0, 0, 0, 0, 0, 28, 16, 222
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\cancel.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\change_form.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\collapse.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 6, 1, 44
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\core.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 19, 16, 171
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\inlines.js", "JavaScript", 0, 0, 259, 0, 0, 0, 0, 0, 59, 27, 345
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\jquery.init.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 6, 1, 9
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 1, 7, 103
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\popup_response.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\prepopulate.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 10, 5, 44
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\urlify.js", "JavaScript", 0, 0, 160, 0, 0, 0, 0, 0, 5, 6, 171
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 6895, 0, 0, 0, 0, 0, 1911, 2076, 10882
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\da.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\de.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\el.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\en.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\es.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\et.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\gl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\he.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hi.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hsb.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hu.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hy.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\id.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\is.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\it.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ja.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ka.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\km.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\lv.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\mk.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ms.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\nb.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ne.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
